date,temp_max,temp_min,humidity_max,humidity_min,precipitation,wind_speed,temp_avg,humidity_avg
2025-12-28,21.8,8.3,84,35,0.0,6.7,15.05,59.5
2025-12-29,22.0,9.6,85,32,0.0,5.8,15.8,58.5
2025-12-30,22.0,9.0,93,40,0.0,6.2,15.5,66.5
2025-12-31,22.0,11.1,87,44,0.1,7.7,16.55,65.5
2026-01-01,19.4,12.1,100,65,3.0,7.8,15.75,82.5
2026-01-02,18.5,10.8,100,47,0.0,10.1,14.65,73.5
2026-01-03,16.6,7.2,100,61,0.0,7.7,11.9,80.5
2026-01-04,17.3,7.2,98,60,0.0,7.0,12.25,79.0
2026-01-05,17.2,7.0,98,59,0.0,7.1,12.1,78.5
2026-01-06,17.7,6.9,97,50,0.0,7.4,12.3,73.5
2026-01-07,17.3,7.2,100,60,0.0,9.0,12.25,80.0
2026-01-08,17.0,6.3,100,51,0.0,10.4,11.65,75.5
2026-01-09,17.0,8.2,92,63,7.8,12.6,12.6,77.5
2026-01-10,19.4,7.8,91,56,0.0,11.7,13.6,73.5
2026-01-11,19.6,8.0,77,47,0.0,10.6,13.8,62.0
2026-01-12,19.9,7.4,86,49,0.0,9.3,13.649999999999999,67.5
2026-01-13,21.8,8.4,88,37,0.0,8.7,15.100000000000001,62.5
2026-01-14,21.5,8.6,93,38,0.0,8.7,15.05,65.5
2026-01-15,22.1,8.0,79,32,0.0,7.8,15.05,55.5
2026-01-16,23.6,9.9,81,30,0.0,7.2,16.75,55.5
2026-01-17,23.9,9.6,89,35,0.0,5.8,16.75,62.0
2026-01-18,24.0,11.6,92,36,0.0,11.8,17.8,64.0
2026-01-19,23.9,12.1,97,35,0.0,9.1,18.0,66.0
2026-01-20,23.4,11.2,93,32,0.0,4.7,17.299999999999997,62.5
2026-01-21,23.4,10.9,75,36,0.0,8.5,17.15,55.5
2026-01-22,25.0,11.2,81,37,0.0,14.2,18.1,59.0
2026-01-23,20.0,11.8,95,50,9.8,15.6,15.9,72.5
2026-01-24,16.9,7.4,59,27,0.0,13.9,12.149999999999999,43.0
2026-01-25,17.5,5.6,73,30,0.0,12.5,11.55,51.5
2026-01-26,19.3,6.4,78,46,0.0,11.6,12.850000000000001,62.0
2026-01-27,21.5,12.4,99,62,18.5,15.6,16.95,80.5
2026-01-28,19.7,11.6,98,47,0.0,13.6,15.649999999999999,72.5
2026-01-29,19.8,9.1,95,46,0.0,8.6,14.45,70.5
2026-01-30,19.8,9.4,92,47,0.0,6.9,14.600000000000001,69.5
2026-01-31,21.2,11.5,90,59,0.7,11.2,16.35,74.5
2026-02-01,22.2,12.6,97,67,0.8,10.2,17.4,82.0
2026-02-02,22.8,12.8,100,40,0.0,10.8,17.8,70.0
2026-02-03,21.8,11.1,98,39,0.0,8.7,16.45,68.5
2026-02-04,22.5,10.7,92,31,0.0,10.2,16.6,61.5
2026-02-05,22.2,10.9,85,30,0.0,9.1,16.55,57.5
2026-02-06,24.9,10.2,75,19,0.0,7.9,17.549999999999997,47.0
2026-02-07,25.7,11.9,73,22,0.0,9.7,18.8,47.5
2026-02-08,25.7,12.5,66,22,0.0,12.2,19.1,44.0
2026-02-09,25.4,11.9,88,33,0.0,11.0,18.65,60.5
